crown_id,individual,site,year,easting,northing,hsi_path,lidar_path,rgb_path,individual_id,species,species_name,label_site,height,stemDiameter,canopyPosition,plantStatus,plot
ABBY_2018_NEON.PLA.D16.ABBY.01444_3429,NEON.PLA.D16.ABBY.01444,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01444_3429.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01444_3429.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01444_3429.tif,NEON.PLA.D16.ABBY.01444,TSHE,Tsuga heterophylla (Raf.) Sarg.,ABBY,12.1,19.5,Partially shaded,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01445_3427,NEON.PLA.D16.ABBY.01445,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01445_3427.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01445_3427.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01445_3427.tif,NEON.PLA.D16.ABBY.01445,TSHE,Tsuga heterophylla (Raf.) Sarg.,ABBY,12.9,22.9,Partially shaded,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01463_3436,NEON.PLA.D16.ABBY.01463,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01463_3436.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01463_3436.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01463_3436.tif,NEON.PLA.D16.ABBY.01463,TSHE,Tsuga heterophylla (Raf.) Sarg.,ABBY,8.0,12.2,Mostly shaded,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01482_3423,NEON.PLA.D16.ABBY.01482,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01482_3423.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01482_3423.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01482_3423.tif,NEON.PLA.D16.ABBY.01482,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,11.2,16.0,Full sun,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01493_3424,NEON.PLA.D16.ABBY.01493,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01493_3424.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01493_3424.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01493_3424.tif,NEON.PLA.D16.ABBY.01493,ALRU2,Alnus rubra Bong.,ABBY,10.4,13.3,Partially shaded,"Live, insect damaged",unknown
ABBY_2018_NEON.PLA.D16.ABBY.01494_3441,NEON.PLA.D16.ABBY.01494,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01494_3441.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01494_3441.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01494_3441.tif,NEON.PLA.D16.ABBY.01494,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,12.3,15.0,Mostly shaded,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01507_114,NEON.PLA.D16.ABBY.01507,ABBY,2018,548000,5067000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01507_114.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01507_114.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01507_114.tif,NEON.PLA.D16.ABBY.01507,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,10.4,19.3,Full sun,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01512_113,NEON.PLA.D16.ABBY.01512,ABBY,2018,548000,5067000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01512_113.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01512_113.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01512_113.tif,NEON.PLA.D16.ABBY.01512,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,9.0,17.6,Full sun,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01520_107,NEON.PLA.D16.ABBY.01520,ABBY,2018,548000,5067000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01520_107.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01520_107.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01520_107.tif,NEON.PLA.D16.ABBY.01520,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,10.8,16.9,Full sun,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01521_106,NEON.PLA.D16.ABBY.01521,ABBY,2018,548000,5067000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01521_106.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01521_106.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01521_106.tif,NEON.PLA.D16.ABBY.01521,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,9.9,18.2,Full sun,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01530_108,NEON.PLA.D16.ABBY.01530,ABBY,2018,548000,5067000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01530_108.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01530_108.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01530_108.tif,NEON.PLA.D16.ABBY.01530,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,8.6,20.8,Full sun,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01544_110,NEON.PLA.D16.ABBY.01544,ABBY,2018,548000,5067000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01544_110.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01544_110.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01544_110.tif,NEON.PLA.D16.ABBY.01544,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,9.8,21.5,Full sun,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01551_102,NEON.PLA.D16.ABBY.01551,ABBY,2018,548000,5067000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01551_102.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01551_102.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01551_102.tif,NEON.PLA.D16.ABBY.01551,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,8.7,16.8,Full sun,Standing dead,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01561_101,NEON.PLA.D16.ABBY.01561,ABBY,2018,548000,5067000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01561_101.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01561_101.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01561_101.tif,NEON.PLA.D16.ABBY.01561,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,10.0,16.2,Full sun,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01564_111,NEON.PLA.D16.ABBY.01564,ABBY,2018,548000,5067000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01564_111.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01564_111.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01564_111.tif,NEON.PLA.D16.ABBY.01564,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,9.4,23.0,Full sun,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.01565_112,NEON.PLA.D16.ABBY.01565,ABBY,2018,548000,5067000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.01565_112.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.01565_112.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.01565_112.tif,NEON.PLA.D16.ABBY.01565,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,6.7,20.0,Full sun,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.02598_3442,NEON.PLA.D16.ABBY.02598,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.02598_3442.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.02598_3442.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.02598_3442.tif,NEON.PLA.D16.ABBY.02598,TSHE,Tsuga heterophylla (Raf.) Sarg.,ABBY,11.6,15.8,Mostly shaded,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.02599_3433,NEON.PLA.D16.ABBY.02599,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.02599_3433.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.02599_3433.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.02599_3433.tif,NEON.PLA.D16.ABBY.02599,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,13.2,13.3,Mostly shaded,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.02600_3435,NEON.PLA.D16.ABBY.02600,ABBY,2018,548000,5065000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.02600_3435.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.02600_3435.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.02600_3435.tif,NEON.PLA.D16.ABBY.02600,TSHE,Tsuga heterophylla (Raf.) Sarg.,ABBY,10.4,13.2,Mostly shaded,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.02730_103,NEON.PLA.D16.ABBY.02730,ABBY,2018,548000,5067000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.02730_103.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.02730_103.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.02730_103.tif,NEON.PLA.D16.ABBY.02730,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,11.2,21.2,Full sun,Live,unknown
ABBY_2018_NEON.PLA.D16.ABBY.02731_104,NEON.PLA.D16.ABBY.02731,ABBY,2018,548000,5067000,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/hsi/ABBY_2018_NEON.PLA.D16.ABBY.02731_104.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/lidar/ABBY_2018_NEON.PLA.D16.ABBY.02731_104.tif,/blue/azare/riteshchowdhry/Macrosystems/Data_files/hand_annotated_neon/curated_tiles_20250822/cropped_crowns_modality_organized/rgb/ABBY_2018_NEON.PLA.D16.ABBY.02731_104.tif,NEON.PLA.D16.ABBY.02731,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,ABBY,10.3,18.3,Full sun,Live,unknown
